Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Sem Aug,1,41.4,1.8764845208276677,3.8710732460021973
Sem Aug,2,45.22,1.510050105143197,2.3871076107025146
Sem Aug,3,51.12,1.2997761180129233,2.3099329471588135
Sem Aug,4,53.01,1.1229351389257214,3.6621060371398926
Sem Aug,5,54.1,1.0009096046037311,2.352051019668579
Sem Aug,6,53.45,0.8542774002763289,2.5187721252441406
Sem Aug,7,56.34,0.7319907372510885,2.3831639289855957
Sem Aug,8,55.78,0.5934529885461058,2.355181932449341
Sem Aug,9,56.39,0.46721135419380816,2.4631428718566895
Sem Aug,10,56.02,0.3718275503267216,2.4633901119232178
Sem Aug,11,55.02,0.25550725348765335,2.3177430629730225
Sem Aug,12,55.84,0.19733450703228575,2.291494846343994
Sem Aug,13,55.96,0.1289093658045123,2.224287986755371
Sem Aug,14,56.17,0.07540653495094445,2.2913527488708496
Sem Aug,15,56.16,0.03771503540816941,2.269925117492676
Sem Aug,16,56.58,0.022633211380695996,2.289630889892578
Sem Aug,17,56.97,0.014695684970769136,2.2404401302337646
Sem Aug,18,57.08,0.007085490912859199,2.2718617916107178
Sem Aug,19,57.43,0.0050265524783937995,2.3240818977355957
Sem Aug,20,57.15,0.004427901345387667,2.3056609630584717
Sem Aug,21,57.12,0.003269534282492403,2.254845142364502
Sem Aug,22,57.1,0.0027415383300637896,2.3574531078338623
Sem Aug,23,57.08,0.0023783106972828883,2.39803409576416
Sem Aug,24,57.08,0.0019090765677510372,2.3072829246520996
Sem Aug,25,57.14,0.0016872028833479161,2.2599289417266846
RandAug,1,37.14,2.0867371468604365,3.1877601146698
RandAug,2,41.39,1.8024355218380312,3.284842014312744
RandAug,3,47.78,1.670674381376822,2.946800947189331
RandAug,4,49.11,1.5555386928063404,2.9157040119171143
RandAug,5,49.41,1.4826202090782454,2.9664342403411865
RandAug,6,54.09,1.4244750783413271,2.9151430130004883
RandAug,7,55.62,1.368699558173554,2.959973096847534
RandAug,8,55.65,1.2889746352087093,3.0750210285186768
RandAug,9,57.86,1.2430491771879075,2.9684972763061523
RandAug,10,59.16,1.1881903055347973,3.0282769203186035
RandAug,11,58.68,1.1505462248114091,2.9615070819854736
RandAug,12,58.2,1.1030626576158065,2.890170097351074
RandAug,13,59.53,1.067853665050072,2.921015977859497
RandAug,14,60.33,1.0345902812631824,2.93091082572937
RandAug,15,59.65,0.9911678833297536,3.0367929935455322
RandAug,16,61.72,0.9488388330121583,3.0923478603363037
RandAug,17,61.01,0.9436300321470333,3.0306077003479004
RandAug,18,60.9,0.9191152713721311,2.961360216140747
RandAug,19,62.21,0.8510895703412309,3.021569013595581
RandAug,20,60.97,0.8362348389021957,2.9247541427612305
RandAug,21,62.58,0.8227382185338419,2.9703729152679443
RandAug,22,61.29,0.7997104940535147,2.9647722244262695
RandAug,23,62.37,0.7934859960894042,3.425410032272339
RandAug,24,62.09,0.7451224847684933,3.0384960174560547
RandAug,25,61.61,0.7440168861346909,2.9022350311279297
Trivial,1,36.76,2.118161233165596,2.8928840160369873
Trivial,2,45.17,1.887455317038524,2.794194221496582
Trivial,3,45.26,1.7768617460999308,2.7685110569000244
Trivial,4,48.49,1.7022685446316683,2.8189187049865723
Trivial,5,50.6,1.6308812310424032,2.786120891571045
Trivial,6,54.18,1.5517737774909297,2.7232747077941895
Trivial,7,54.68,1.4937702809708029,2.772883892059326
Trivial,8,53.52,1.4586255022242098,2.7255730628967285
Trivial,9,56.82,1.3950028660931164,2.8501858711242676
Trivial,10,56.48,1.3419806187665915,2.7715811729431152
Trivial,11,57.73,1.3011838424054882,2.8578410148620605
Trivial,12,58.31,1.2896222585364232,2.7657227516174316
Trivial,13,57.4,1.2324787023701245,2.9299609661102295
Trivial,14,59.55,1.1990967294837855,2.7412660121917725
Trivial,15,58.89,1.1454577883587609,2.762943983078003
Trivial,16,59.52,1.0877801164796082,2.8237597942352295
Trivial,17,58.76,1.0782186826573144,2.841132164001465
Trivial,18,59.03,1.0555677353581296,2.788611888885498
Trivial,19,59.52,1.0583686617356312,2.807300090789795
Trivial,20,60.11,1.0009515089324759,2.72314190864563
