Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Sem Aug,1,25.19,2.1205670177936553,2.3763105869293213
Sem Aug,2,35.13,1.80055872797966,1.5547902584075928
Sem Aug,3,35.56,1.61142338514328,1.4984829425811768
Sem Aug,4,39.24,1.4116839945316315,1.534447193145752
Sem Aug,5,40.65,1.24461869597435,1.513679027557373
Sem Aug,6,43.79,1.1166405618190764,1.6099720001220703
Sem Aug,7,42.8,0.9883670449256897,2.0448896884918213
Sem Aug,8,43.61,0.815779647231102,1.648022174835205
Sem Aug,9,42.81,0.6574081748723983,1.4964039325714111
Sem Aug,10,43.91,0.5958188772201538,1.6520917415618896
Sem Aug,11,44.67,0.42613629102706907,3.5804531574249268
Sem Aug,12,44.17,0.33165518641471864,3.757208824157715
Sem Aug,13,44.02,0.24312582984566689,1.7983458042144775
Sem Aug,14,44.25,0.18644105456769466,1.6299972534179688
Sem Aug,15,44.26,0.1510184656828642,1.6981298923492432
Sem Aug,16,44.02,0.09896640423685313,1.661484956741333
Sem Aug,17,45.17,0.05878181252628565,1.6224560737609863
Sem Aug,18,45.19,0.0371438100002706,1.6093380451202393
Sem Aug,19,45.34,0.02271751845255494,1.603672981262207
Sem Aug,20,45.48,0.016096202237531543,1.5946159362792969
Sem Aug,21,44.95,0.011412681778892875,2.996389865875244
Sem Aug,22,45.48,0.009041541884653271,2.172722101211548
Sem Aug,23,45.63,0.007632194529287517,1.9646999835968018
Sem Aug,24,45.54,0.006595894345082343,1.6763336658477783
Sem Aug,25,45.2,0.0055558016989380125,1.5852649211883545
RandAug,1,27.99,2.2589846730232237,5.2732861042022705
RandAug,2,32.18,2.060500258207321,2.5466039180755615
RandAug,3,36.85,1.9443895101547242,1.9198858737945557
RandAug,4,39.46,1.8184597611427307,1.8235361576080322
RandAug,5,40.38,1.7387807071208954,1.7975890636444092
RandAug,6,40.81,1.657195794582367,1.7748289108276367
RandAug,7,44.98,1.5947304904460906,1.7666358947753906
RandAug,8,44.58,1.5571770131587983,1.768869161605835
RandAug,9,45.87,1.4700989127159119,1.7454509735107422
RandAug,10,46.44,1.4393760204315185,1.799663782119751
RandAug,11,46.02,1.3677889704704285,1.7681539058685303
RandAug,12,45.0,1.3705914974212647,1.7609362602233887
RandAug,13,46.74,1.2689805209636689,1.779350757598877
RandAug,14,48.19,1.251659134030342,1.8219640254974365
RandAug,15,48.92,1.1789477735757827,1.8409860134124756
RandAug,16,50.26,1.1269483804702758,1.845393180847168
RandAug,17,47.2,1.1354994773864746,1.7663519382476807
RandAug,18,49.1,1.0865410953760146,1.8565728664398193
RandAug,19,47.25,1.0383730828762054,1.7885050773620605
RandAug,20,48.93,1.0189826846122743,1.8076131343841553
RandAug,21,49.99,0.906104788184166,1.8465430736541748
RandAug,22,51.17,0.9005812406539917,1.769477128982544
RandAug,23,51.03,0.9060996502637864,1.77012300491333
RandAug,24,50.68,0.8742054253816605,1.8221309185028076
RandAug,25,50.31,0.8049323737621308,1.8011798858642578
Trivial,1,23.93,2.2600494861602782,1.857302188873291
Trivial,2,28.27,2.149895119667053,1.732461929321289
Trivial,3,32.41,2.0304376065731047,1.7714972496032715
Trivial,4,36.89,1.9797376334667205,1.8826639652252197
Trivial,5,35.82,1.9051870048046111,1.7396419048309326
Trivial,6,38.97,1.8475550293922425,1.7152068614959717
Trivial,7,39.84,1.8053596019744873,1.708392858505249
Trivial,8,42.06,1.6774888455867767,1.70438814163208
Trivial,9,40.91,1.6785561919212342,1.6894428730010986
Trivial,10,44.18,1.6612366080284118,1.7470920085906982
Trivial,11,44.5,1.5473135471343995,1.715017318725586
Trivial,12,45.02,1.5202702522277831,1.6754851341247559
Trivial,13,46.12,1.4861781299114227,1.6662468910217285
Trivial,14,45.03,1.4262769758701324,1.7090859413146973
Trivial,15,45.85,1.3864601135253907,1.680830955505371
Trivial,16,47.22,1.3633865356445312,1.6918120384216309
Trivial,17,43.07,1.3427933633327485,1.946000099182129
Trivial,18,47.01,1.324862188100815,2.004072904586792
Trivial,19,47.1,1.1992669463157655,1.7049510478973389
Trivial,20,47.96,1.1780157417058945,1.6887152194976807
Trivial,21,46.74,1.1486743241548538,1.6892979145050049
Trivial,22,48.34,1.120322322845459,1.6925678253173828
Trivial,23,48.31,1.1710713684558869,1.715912103652954
Trivial,24,48.36,1.1328416645526886,1.7069189548492432
Trivial,25,46.37,1.015688309073448,1.7020020484924316
AugMix,1,21.06,2.142543613910675,4.1781392097473145
AugMix,2,32.31,1.892239785194397,3.712033748626709
AugMix,3,40.43,1.7081297039985657,3.7953431606292725
AugMix,4,40.35,1.542357337474823,3.6772589683532715
AugMix,5,42.85,1.4436600089073182,3.6649179458618164
AugMix,6,43.55,1.2914321899414063,3.653599977493286
AugMix,7,44.83,1.1989067584276198,3.884279727935791
AugMix,8,45.87,1.1231999188661574,3.6828980445861816
AugMix,9,46.1,0.9922330528497696,3.689512014389038
AugMix,10,47.12,0.9042571812868119,3.6870951652526855
AugMix,11,48.44,0.8007565468549729,3.6394171714782715
AugMix,12,48.51,0.7607784867286682,3.641815662384033
AugMix,13,48.06,0.7095052868127822,3.7601511478424072
AugMix,14,48.24,0.6402030646800995,3.6955089569091797
AugMix,15,48.26,0.5889525830745697,3.679720163345337
AugMix,16,47.57,0.5928408607840538,3.764993190765381
AugMix,17,48.01,0.5545268088579178,3.671060085296631
AugMix,18,49.03,0.5419070720672607,3.8855361938476562
AugMix,19,48.59,0.5241628468036652,3.750183343887329
AugMix,20,48.59,0.48102193623781203,3.7484898567199707
AugMix,21,47.83,0.5058690026402474,3.8535287380218506
AugMix,22,48.93,0.4049184903502464,3.639134168624878
AugMix,23,49.27,0.4652400895953178,3.8104448318481445
AugMix,24,49.19,0.43142287731170653,3.7285032272338867
AugMix,25,47.32,0.39907709658145907,3.6244070529937744
Albument,1,23.22,2.209007942676544,1.6377882957458496
Albument,2,33.5,1.9907300889492034,1.6056699752807617
Albument,3,35.38,1.8657649219036103,1.5939648151397705
Albument,4,37.38,1.7526070952415467,1.6009407043457031
Albument,5,39.13,1.608633691072464,1.5988049507141113
Albument,6,42.07,1.5308468163013458,1.8325979709625244
Albument,7,44.24,1.4576274573802948,1.6478588581085205
Albument,8,45.98,1.3713525176048278,1.6177260875701904
Albument,9,44.74,1.366762137413025,1.6004271507263184
Albument,10,46.01,1.2983616471290589,1.573880672454834
Albument,11,47.39,1.2186006546020507,1.6361680030822754
Albument,12,47.0,1.2256636828184129,1.5990228652954102
Albument,13,47.37,1.1624837607145309,1.6041829586029053
Albument,14,48.29,1.1113360553979874,2.0605921745300293
Albument,15,49.42,1.0651623994112014,1.81076979637146
Albument,16,49.45,1.0480587214231492,1.6665949821472168
Albument,17,49.77,0.9759137213230134,1.6007721424102783
Albument,18,48.82,0.9426363438367844,1.5911600589752197
Albument,19,50.79,0.910576868057251,1.70001220703125
Albument,20,49.77,0.8475084722042083,1.6723599433898926
Albument,21,48.93,0.8485499769449234,1.664769172668457
Albument,22,51.12,0.7514947921037674,1.712480068206787
Albument,23,50.02,0.7170794636011124,1.624743938446045
Albument,24,49.89,0.7286808729171753,1.6109249591827393
Albument,25,50.52,0.6752744495868683,1.6034669876098633
CutMix,1,26.41,2.243492531776428,1.7142469882965088
CutMix,2,33.9,2.120863300561905,1.5690898895263672
CutMix,3,36.35,2.0197441220283507,1.584502935409546
CutMix,4,38.7,1.9524470150470734,1.6321930885314941
CutMix,5,39.73,1.884908801317215,1.5768671035766602
CutMix,6,40.93,1.8440300166606902,1.5837938785552979
CutMix,7,42.69,1.894073909521103,1.5870130062103271
CutMix,8,42.86,1.8934226989746095,1.5660152435302734
CutMix,9,41.94,1.6969507157802581,1.5730979442596436
CutMix,10,45.48,1.823231041431427,1.5980212688446045
CutMix,11,45.32,1.5912921011447907,1.5811491012573242
CutMix,12,45.36,1.5422338545322418,1.6108920574188232
CutMix,13,45.67,1.5899531841278076,1.5887670516967773
CutMix,14,42.42,1.5978448688983917,1.59499192237854
CutMix,15,46.87,1.5386592328548432,1.5750210285186768
CutMix,16,45.9,1.5085874646902084,1.5916810035705566
CutMix,17,46.81,1.3790975242853165,1.565953016281128
CutMix,18,46.63,1.547476351261139,1.576336145401001
CutMix,19,47.86,1.3106533676385879,1.5627799034118652
CutMix,20,46.72,1.4372914612293244,1.5546338558197021
CutMix,21,47.44,1.3390981197357177,1.5627830028533936
CutMix,22,46.65,1.3889925062656403,1.572871208190918
CutMix,23,47.07,1.2756347060203552,1.573441982269287
CutMix,24,46.68,1.4095780313014985,1.5684659481048584
CutMix,25,48.41,1.3098177105188369,1.5850319862365723
Rand->Albument,1,28.14,2.2790934562683107,1.895390272140503
Rand->Albument,2,32.42,2.1088595151901246,1.9820988178253174
Rand->Albument,3,34.15,2.0119679152965544,1.949540138244629
Rand->Albument,4,38.12,1.9124686956405639,1.8615450859069824
