Tecnica,Melhor_acc,Media_acc,Desvio,Ep_melhor,Loss_medio,Tempo_total(s)
Sem Aug,45.63,42.64240000000001,4.616687376608181,23,0.5590074726687743,42.68841528892517
RandAug,51.17,45.2132,5.953997060798738,22,1.3510371694564816,45.91463088989258
Trivial,48.36,42.41120000000001,6.5200743349545744,24,1.5343569964170454,44.16095447540283
AugMix,49.27,45.21240000000001,6.343317533699013,23,0.9056057040095332,98.66739320755005
Albument,51.12,45.208,6.749720981887572,22,1.227228582024574,45.4626989364624
CutMix,48.41,43.39200000000001,5.158501074278586,25,1.6455749855041504,46.647380113601685
Rand->Albument,52.83,44.84160000000001,6.504186907933484,25,1.5933988796472547,63.20438313484192
Rand->AugMix,50.16,43.92359999999999,6.516275700121964,23,1.4611279494762421,81.56831312179565
Rand->CutMix,46.61,39.586400000000005,6.772061404525705,25,1.9913211328983307,51.69982171058655
Trivial->Albument,48.48,41.632,6.9117556862686245,24,1.78274334859848,51.847055435180664
Trivial->AugMix,49.13,42.7372,6.093857234953901,25,1.6308535923957823,76.03544974327087
Trivial->CutMix,46.42,40.01120000000001,6.190912910602657,24,2.035399596452713,52.66845440864563
Albument->CutMix,49.68,43.14,6.44583845076289,20,1.8775206673145297,49.143256187438965
AugMix->CutMix,47.19,41.606399999999994,6.015397520807193,19,1.7899392874240874,80.39975762367249
Albument->Rand,50.99,45.283200000000015,5.967793925173132,25,1.2040315309762954,57.97454905509949
AugMix->Rand,47.17,43.4216,4.010420468396467,18,0.790939544215798,90.1915442943573
Albument->Trivial,52.13,46.3812,6.05037142110576,25,1.1329806465506556,54.15942740440369
AugMix->Trivial,46.88,43.2136,3.969855035136674,13,0.7186629737466574,73.56935858726501
Rand+Trivial (metades),50.42,44.3304,6.017252612280791,21,1.4641695017814638,53.26374411582947
Rand+Albument (metades),52.37,46.07079999999999,6.176935540109405,24,1.241594662129879,53.79537796974182
Rand+AugMix (metades),49.02,44.40599999999999,5.561894910909411,22,1.104455350279808,75.36778521537781
Trivial+Albument (metades),51.72,45.924,6.126100581392158,25,1.3847758662700653,51.57022023200989
Trivial+AugMix (metades),48.11,43.1772,5.756238297128893,23,1.228230658829212,64.46836256980896
Albument+AugMix (metades),49.37,45.38119999999999,5.065232242125396,24,1.0067954670786856,61.06851291656494
Rand->Trivial->Albument,49.96,41.88759999999999,7.851699009343986,23,1.9059667613506324,57.23219180107117
Rand->Trivial->AugMix,45.22,38.17280000000001,6.786146132624418,22,1.9533547096252442,93.98367238044739
Rand->Albument->CutMix,44.89,37.623200000000004,7.929643602752059,24,2.0696655988693236,53.7970175743103
Rand->AugMix->CutMix,48.13,40.834399999999995,6.48092398247863,24,1.9948191773891446,91.89205121994019
Trivial->Rand->Albument,48.99,40.624399999999994,7.380853654332042,25,1.9266931805610656,57.65422058105469
Trivial->Rand->AugMix,46.72,40.2912,5.982223889714147,25,1.9117998254299167,83.35730648040771
Trivial->Albument->CutMix,43.81,36.4032,6.751365738377187,25,2.1133321063518524,50.169633626937866
Trivial->AugMix->CutMix,44.63,38.48400000000001,6.185220960752602,25,2.0825262079238893,87.1284430027008
Rand+Trivial+Albument (terços),50.23,44.330799999999996,5.985734374327013,22,1.4074182556867598,50.35442614555359
Rand+Trivial+AugMix (terços),49.88,44.702400000000004,5.226158786974106,24,1.268265162408352,54.85971260070801
Rand+Albument+AugMix (terços),49.67,45.31159999999999,5.176049555404199,25,1.1254978106021882,56.48404335975647
Trivial+Albument+AugMix (terços),50.9,45.69760000000001,5.369626988907144,22,1.20170134973526,50.18077540397644
