Tecnica,Melhor_acc,Media_acc,Desvio,Ep_melhor,Loss_medio,Tempo_total(s)
Sem Aug,51.69,48.47720000000001,4.017480055955474,23,0.5248894758219251,45.90641903877258
RandAug,57.68,49.126400000000004,7.405725757817393,25,1.3414940198659897,56.0696177482605
Trivial,55.66,49.251999999999995,6.074807953068694,25,1.4607849119305607,52.378743171691895
AugMix,54.47,50.56319999999999,4.753938472466803,20,0.8714924250245093,147.9486527442932
Albument,58.57,52.0316,6.589058911053485,22,1.0795216120034454,49.24543213844299
CutMix,53.91,48.422,5.768877707145473,17,1.6195920584201815,47.34216022491455
Rand->Albument,58.35,50.955999999999996,7.366345769783007,23,1.4602321504354479,63.968265771865845
Rand->AugMix,54.44,47.87799999999999,6.180177316765811,20,1.4348942523002624,93.83529829978943
Rand->CutMix,54.5,46.7192,6.944068164027961,23,1.9018851925730706,55.965208768844604
Trivial->Albument,54.87,47.665200000000006,7.418243345518758,25,1.7071979959011077,56.46560716629028
Trivial->AugMix,55.64,48.53960000000001,6.831106230570078,22,1.5476957337260244,97.39622330665588
Trivial->CutMix,49.51,41.65959999999999,7.687962712361882,23,2.044126433610916,56.13246035575867
Albument->CutMix,54.13,46.11800000000001,6.764249157642456,24,1.8637738094329839,51.0970025062561
AugMix->CutMix,53.02,46.8804,6.0754577879640745,24,1.7607950161099435,88.6763608455658
Albument->Rand,57.55,51.116399999999985,6.739126352873939,24,1.137234949812293,49.503113985061646
AugMix->Rand,50.81,47.29840000000001,4.4240316077834105,11,0.7687275053281336,90.78331971168518
Albument->Trivial,57.42,51.64679999999999,5.865713738895436,25,1.124993083164096,47.84954023361206
AugMix->Trivial,51.46,48.3396,4.405116797543511,16,0.7739132965467873,85.4363706111908
Rand+Trivial (metades),56.19,49.593999999999994,6.878313141073665,25,1.3890547229498624,53.85593891143799
Rand+Albument (metades),58.64,51.0744,7.331798369658928,24,1.2161484633684154,53.08871936798096
Rand+AugMix (metades),54.45,49.581199999999995,6.290420176744953,22,1.0627539983466268,70.31911253929138
Trivial+Albument (metades),55.3,48.9312,6.59336239461071,24,1.352849978476763,51.81160283088684
Trivial+AugMix (metades),54.5,48.9436,5.595171936589617,25,1.151749915473163,67.22794342041016
Albument+AugMix (metades),56.07,50.6404,6.191066467095956,23,0.980953580126166,78.84098815917969
Rand->Trivial->Albument,53.25,45.05920000000001,7.738846231835855,24,1.8546217877864837,63.647857904434204
Rand->Trivial->AugMix,51.69,44.9476,7.148966288911985,22,1.8521324477195733,103.80874252319336
Rand->Albument->CutMix,52.89,44.89800000000001,7.251748639696037,25,1.9917528191804887,57.60732412338257
Rand->AugMix->CutMix,53.08,44.4952,6.287673205036449,25,1.9835776765346531,95.8633782863617
Trivial->Rand->Albument,52.3,44.04879999999999,7.529036746711582,23,1.8986965404748921,64.92728209495544
Trivial->Rand->AugMix,53.2,44.6488,7.297733849170806,25,1.8503537151217464,103.69569063186646
Trivial->Albument->CutMix,48.69,41.25160000000001,6.001142030202807,24,2.0755412927865984,57.707701683044434
Trivial->AugMix->CutMix,50.71,44.187200000000004,6.636424438907848,24,2.0287488728761676,92.9966676235199
Rand+Trivial+Albument (terços),58.01,51.404799999999994,6.668769951547787,23,1.2903294502571225,53.982158184051514
Rand+Trivial+AugMix (terços),55.58,50.23160000000001,5.821862302276365,20,1.2304864914417268,63.07521200180054
Rand+Albument+AugMix (terços),57.62,51.493199999999995,6.556168037301465,17,1.072782020330429,64.49415802955627
Trivial+Albument+AugMix (terços),56.16,50.5868,6.301801144646399,21,1.181739949077368,63.96741771697998
